ID,Gender,18to24,25to34,35to44,45to54,55to64,more64,leftbefore16,left16,left17,left18,somecollege,professional,university,masters,doctorate,USA,NewZealand,OtherC,Australia,Ireland,Canada,UK,Black,Asian,White,WhiteBlack,OtherE,WhiteAsian,BlackAsian,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Alcohol,Amphetamines ,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,Lysergic acid diethylamide,Methadone,Magic mushrooms,Nicotine,Fictitious drug Semeron,Volatile substance abuse
11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,45,38,38,53,4,6,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,24,40,47,30,38,5,9,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,56,41,49,32,36,7,6,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,28,45,46,49,59,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,49,49,39,52,7,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,29,35,36,49,2,4,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,34,34,45,47,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
18,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,41,31,44,40,31,1,3,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
19,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,49,39,45,30,30,2,5,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,27,29,30,47,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,45,51,53,33,4,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
22,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,43,38,39,53,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,40,33,40,50,35,2,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,51,16,37,45,34,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34,44,54,48,51,3,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,37,37,49,42,3,7,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0
27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,35,28,24,38,46,4,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,41,31,46,43,25,8,7,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36,29,41,45,50,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,51,52,49,53,3,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,39,34,37,33,37,1,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25,34,47,39,42,1,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,31,46,46,42,4,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
34,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,40,38,48,51,41,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,46,44,52,23,36,5,10,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
36,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,33,34,28,41,36,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,33,36,45,43,30,3,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,39,42,53,44,37,5,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
39,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,48,48,43,47,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,33,33,38,38,45,1,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
41,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36,37,46,29,47,2,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,44,40,53,54,39,3,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34,33,37,43,37,3,4,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0
44,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,36,44,42,34,3,5,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0
45,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,26,49,49,51,48,3,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,31,43,54,49,52,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,39,44,38,45,51,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,45,48,49,49,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,37,34,44,42,37,4,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,44,36,32,37,44,5,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,46,39,45,35,42,2,3,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0
52,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,47,46,42,37,27,8,10,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34,40,36,45,36,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,39,53,45,44,3,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36,47,42,36,33,7,9,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
56,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36,35,38,40,39,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36,40,34,43,44,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,44,32,45,47,2,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,38,44,46,40,39,8,9,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0
60,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,31,31,37,32,41,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,49,42,48,41,40,1,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18,50,54,44,50,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,30,33,34,45,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
64,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,46,38,41,39,42,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,43,53,40,48,1,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
66,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,43,43,40,50,46,5,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,35,38,51,45,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,38,53,37,41,6,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
69,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,27,40,48,42,40,3,6,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
70,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,35,35,34,45,42,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,38,47,30,40,5,8,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0
72,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,31,47,44,50,43,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
73,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,46,46,46,48,4,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
74,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,36,44,45,49,2,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,27,26,33,44,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34,41,35,38,39,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,32,35,35,46,46,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,37,28,42,35,39,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
79,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,34,31,32,25,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
80,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,34,32,50,37,3,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,36,42,49,42,51,3,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,31,46,37,41,6,7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
83,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,49,39,47,51,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,33,38,52,29,4,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
85,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,41,44,41,41,1,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,31,40,35,44,45,5,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
87,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,43,39,38,44,41,3,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
88,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,41,43,41,44,2,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,39,26,36,38,38,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,45,36,48,39,40,5,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,49,42,51,45,36,1,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
92,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,40,37,51,45,47,6,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,38,43,45,42,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34,34,39,48,45,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,36,39,47,41,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
96,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,31,42,53,32,49,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37,32,48,42,47,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,31,44,44,39,33,4,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25,37,46,39,48,3,9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,58,51,49,52,5,7,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
101,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,26,55,50,33,39,3,9,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0
102,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,30,43,34,42,48,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
103,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,48,55,34,42,2,9,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0
104,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,36,44,44,41,43,4,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,41,45,50,46,2,6,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
106,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,43,33,38,54,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,46,38,33,45,39,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,37,40,37,38,46,5,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
109,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,31,53,47,44,47,8,9,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28,43,36,37,38,2,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
111,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,34,42,47,41,41,4,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,39,32,40,39,37,4,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,42,52,35,36,3,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
114,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,36,44,48,44,47,4,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
115,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,52,55,38,31,8,9,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0
116,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,38,36,40,45,49,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
117,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,42,36,47,31,39,5,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
