Age,Gender,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Cannabis
+64,Female,doctorate,Canada,White,36,42,49,42,51,3,5,0
55-64,Female,university,UK,White,28,31,46,37,41,6,7,0
55-64,Male,masters,Canada,White,19,49,39,47,51,3,2,0
55-64,Female,left17,UK,WhiteBlack,46,33,38,52,29,4,5,0
45-54,Male,left16,UK,White,32,41,44,41,41,1,6,0
25-34,Female,left18,UK,White,31,40,35,44,45,5,9,0
35-44,Male,somecollege,UK,White,43,39,38,44,41,3,7,0
55-64,Male,left16,UK,White,27,41,43,41,44,2,7,0
35-44,Female,somecollege,UK,White,39,26,36,38,38,1,0,0
35-44,Female,masters,UK,White,45,36,48,39,40,5,5,0
35-44,Female,masters,UK,White,49,42,51,45,36,1,6,1
35-44,Male,professional,Canada,White,40,37,51,45,47,6,8,0
25-34,Male,left18,UK,White,22,38,43,45,42,2,3,0
+64,Female,left16,UK,White,34,34,39,48,45,1,1,0
45-54,Male,masters,UK,White,29,36,39,47,41,1,0,0
45-54,Male,masters,UK,White,31,42,53,32,49,5,5,0
35-44,Female,university,Canada,White,37,32,48,42,47,1,1,0
45-54,Female,masters,UK,White,31,44,44,39,33,4,3,0
35-44,Male,doctorate,Canada,White,25,37,46,39,48,3,9,0
25-34,Female,university,UK,White,29,58,51,49,52,5,7,1
25-34,Male,masters,OtherC,White,26,55,50,33,39,3,9,1
45-54,Female,left16,Australia,White,30,43,34,42,48,1,3,0
45-54,Male,left18,UK,White,30,48,55,34,42,2,9,0
45-54,Female,professional,Canada,White,36,44,44,41,43,4,8,0
25-34,Female,somecollege,Canada,White,27,41,45,50,46,2,6,1
35-44,Male,professional,UK,White,18,43,33,38,54,1,1,0
25-34,Female,somecollege,UK,White,46,38,33,45,39,1,3,0
35-44,Female,left16,UK,White,37,40,37,38,46,5,5,0
25-34,Female,university,UK,White,31,53,47,44,47,8,9,1
45-54,Female,somecollege,UK,White,28,43,36,37,38,2,6,0
45-54,Male,masters,UK,Asian,34,42,47,41,41,4,4,0
25-34,Male,masters,UK,White,39,32,40,39,37,4,7,1
25-34,Female,university,UK,White,25,42,52,35,36,3,5,0
45-54,Female,professional,UK,White,36,44,48,44,47,4,5,0
35-44,Male,somecollege,UK,White,17,52,55,38,31,8,9,1
25-34,Female,professional,Canada,White,38,36,40,45,49,1,0,0
35-44,Male,professional,Canada,White,42,36,47,31,39,5,5,0
25-34,Female,university,UK,White,51,45,55,44,33,5,7,0
35-44,Female,somecollege,USA,White,53,26,29,50,44,3,1,0
35-44,Female,university,UK,White,32,44,39,45,51,3,3,0
25-34,Female,masters,UK,White,26,44,39,36,47,4,10,0
35-44,Female,professional,UK,White,50,31,35,29,36,5,6,0
55-64,Male,masters,UK,White,38,41,45,41,35,3,4,0
25-34,Female,university,UK,White,38,35,43,43,43,7,6,1
45-54,Male,left16,UK,White,32,52,48,46,46,3,5,0
55-64,Male,university,UK,White,31,48,49,44,49,5,7,0
45-54,Male,university,UK,White,25,44,38,40,42,3,3,0
45-54,Female,left17,UK,White,32,34,40,45,48,1,0,0
35-44,Male,doctorate,UK,Asian,36,44,47,44,44,3,2,0
45-54,Female,masters,UK,White,28,46,38,49,45,4,7,0
45-54,Female,left16,UK,White,45,42,36,46,55,2,2,0
45-54,Female,left16,UK,OtherE,22,39,37,57,46,1,0,0
35-44,Female,left18,Ireland,White,33,36,42,42,44,1,1,0
35-44,Male,masters,UK,White,35,41,48,42,43,5,7,0
25-34,Female,masters,UK,WhiteAsian,60,29,44,47,37,1,7,0
35-44,Female,left16,UK,White,21,50,42,54,52,5,4,0
45-54,Female,university,UK,White,34,38,34,54,52,7,6,0
45-54,Female,university,UK,White,25,50,48,48,45,0,2,0
55-64,Male,university,UK,White,31,34,47,45,48,1,2,0
45-54,Male,left16,UK,White,35,42,42,49,40,3,5,0
25-34,Female,university,UK,Asian,54,42,55,49,40,2,5,0
35-44,Female,left16,UK,White,28,44,38,51,46,1,0,0
35-44,Male,left17,UK,White,31,38,37,45,41,5,7,0
35-44,Male,professional,UK,Black,21,48,42,51,54,2,4,0
45-54,Male,professional,Canada,White,37,32,43,35,42,3,8,1
45-54,Female,university,UK,White,31,41,38,56,47,7,7,0
55-64,Male,professional,UK,White,38,31,45,40,40,4,2,0
35-44,Male,masters,UK,Black,30,43,41,44,48,3,4,0
35-44,Female,professional,UK,White,35,32,28,37,44,1,1,0
45-54,Female,university,UK,White,28,52,41,55,52,3,2,0
35-44,Female,somecollege,UK,White,33,48,47,47,49,4,6,0
35-44,Female,university,UK,White,41,28,33,46,35,2,3,0
25-34,Female,university,UK,White,31,29,41,39,37,0,1,0
25-34,Male,university,UK,White,29,46,34,48,47,3,4,0
18-24,Female,somecollege,UK,White,59,30,51,40,46,3,8,0
35-44,Female,university,UK,Black,42,30,37,45,40,2,3,0
35-44,Female,somecollege,UK,White,48,40,44,50,43,4,4,0
25-34,Male,left16,UK,White,26,47,33,40,47,3,8,0
35-44,Female,university,Australia,White,33,41,44,41,45,6,9,0
45-54,Female,somecollege,UK,Black,31,36,42,44,44,3,2,0
45-54,Male,masters,OtherC,White,46,45,49,42,44,3,7,1
35-44,Male,university,UK,Black,29,42,40,54,39,2,2,0
25-34,Female,university,NewZealand,White,38,40,45,53,48,1,5,0
25-34,Female,somecollege,UK,White,53,40,44,49,43,3,3,0
25-34,Female,doctorate,UK,White,37,42,35,52,49,1,4,0
45-54,Male,masters,UK,White,33,38,44,40,52,1,3,0
18-24,Male,somecollege,UK,White,50,31,51,27,27,6,6,1
25-34,Female,professional,UK,Black,36,40,39,40,48,5,4,0
25-34,Female,university,UK,White,38,48,37,41,33,5,7,0
18-24,Female,left18,UK,White,32,40,36,47,41,2,7,0
45-54,Male,left16,UK,White,49,38,44,44,41,6,7,0
35-44,Male,masters,UK,White,32,46,58,48,36,7,10,0
45-54,Female,professional,UK,White,41,36,43,40,47,4,2,0
35-44,Female,university,UK,White,46,44,54,44,44,5,7,0
35-44,Female,professional,UK,White,46,36,30,48,30,6,6,0
55-64,Female,university,UK,White,42,40,49,51,43,4,6,0
35-44,Female,university,UK,OtherE,34,36,40,35,38,1,2,0
35-44,Female,university,UK,White,50,40,37,37,49,2,4,0
45-54,Female,university,UK,White,44,33,43,48,41,4,5,0
35-44,Female,professional,UK,White,40,39,39,50,37,1,2,0
45-54,Female,professional,UK,White,39,44,35,45,48,4,6,0
25-34,Male,doctorate,UK,White,24,37,44,47,48,2,2,0
35-44,Female,somecollege,UK,White,39,45,44,51,47,1,2,0
18-24,Female,university,UK,White,54,37,48,38,48,2,7,0
55-64,Male,left18,UK,White,36,34,39,47,44,1,2,0
35-44,Female,university,Canada,White,39,44,46,48,41,3,4,1
35-44,Female,masters,UK,White,29,49,47,45,53,1,1,0
55-64,Female,left16,UK,White,28,34,32,50,46,1,1,0
45-54,Female,left16,UK,White,40,30,31,47,40,1,0,0
18-24,Female,masters,UK,White,32,40,43,44,47,2,3,0
55-64,Female,professional,UK,White,23,40,40,47,40,2,1,0
18-24,Male,university,UK,WhiteAsian,32,48,38,47,38,5,6,0
25-34,Female,professional,Canada,White,28,38,45,45,38,6,6,1
45-54,Female,university,UK,White,39,32,43,44,43,1,6,0
25-34,Female,university,Canada,WhiteAsian,27,48,46,43,45,2,2,0
55-64,Female,university,UK,White,42,42,51,41,48,5,6,0
18-24,Male,university,UK,Black,30,42,42,51,35,4,2,0
55-64,Female,university,UK,White,32,43,41,37,38,2,3,0
25-34,Female,professional,UK,White,35,43,50,48,42,8,9,1
45-54,Female,professional,UK,White,31,54,51,54,50,5,6,1
18-24,Female,university,UK,White,30,41,40,50,51,5,9,0
35-44,Male,masters,UK,OtherE,34,33,42,34,50,2,3,0
35-44,Female,university,UK,White,29,48,43,49,49,4,3,0
+64,Male,leftbefore16,UK,White,22,32,29,37,37,1,0,0
25-34,Female,university,UK,White,34,46,54,43,44,3,7,0
35-44,Female,left16,UK,White,34,47,48,37,34,8,7,0
18-24,Female,university,UK,White,35,48,50,44,45,6,6,0
35-44,Female,professional,UK,White,29,43,42,47,41,3,7,1
35-44,Female,university,UK,White,37,40,45,41,42,5,9,1
25-34,Male,masters,UK,Asian,23,43,53,40,49,1,3,0
25-34,Female,somecollege,UK,White,43,41,36,43,32,8,8,0
45-54,Female,left16,UK,White,29,36,38,50,48,1,0,0
25-34,Female,professional,UK,White,37,44,40,54,46,3,2,0
45-54,Female,professional,Ireland,White,41,39,37,49,43,1,1,0
25-34,Female,professional,UK,White,34,47,49,51,50,4,9,0
25-34,Female,university,Canada,White,51,38,41,50,39,4,6,1
25-34,Female,professional,UK,White,38,47,48,52,42,6,8,0
35-44,Male,professional,UK,White,48,45,49,52,29,8,8,0
25-34,Female,masters,OtherC,White,39,47,40,36,47,3,4,1
35-44,Female,somecollege,UK,White,32,36,47,50,44,1,3,0
18-24,Female,university,UK,White,44,38,48,43,43,4,6,1
25-34,Female,university,UK,White,34,43,43,38,48,5,4,0
35-44,Female,university,UK,White,33,44,51,50,44,7,9,0
55-64,Male,university,UK,White,25,47,44,50,48,3,6,0
45-54,Female,university,UK,White,31,49,48,46,47,3,5,0
35-44,Female,university,UK,White,24,44,52,40,44,1,1,0
45-54,Female,university,UK,White,31,43,41,52,51,3,3,0
18-24,Male,somecollege,UK,White,38,46,39,39,46,7,7,1
45-54,Male,masters,UK,White,29,42,46,38,41,4,6,0
45-54,Female,university,UK,White,26,49,47,49,52,1,0,0
35-44,Female,professional,UK,White,46,23,33,47,45,1,1,0
+64,Female,masters,UK,White,37,32,43,40,44,3,1,0
25-34,Female,university,UK,White,36,48,46,44,47,5,8,0
45-54,Male,university,UK,White,29,45,36,49,44,5,7,0
25-34,Female,university,UK,White,40,46,46,37,52,4,7,0
25-34,Female,professional,UK,White,36,46,37,56,54,1,0,0
25-34,Female,masters,UK,White,50,42,45,46,45,4,5,0
25-34,Female,left16,UK,White,45,39,30,45,50,1,0,1
18-24,Female,left18,UK,White,41,39,41,39,44,3,5,0
45-54,Female,professional,UK,White,20,44,51,53,44,1,3,0
35-44,Female,masters,UK,White,42,31,46,53,56,1,3,0
25-34,Female,left18,OtherC,White,55,31,40,48,34,4,2,0
18-24,Female,somecollege,UK,White,50,29,24,48,35,1,1,0
25-34,Female,university,UK,White,30,47,51,49,48,1,5,1
35-44,Male,university,UK,White,54,29,45,50,20,2,4,0
25-34,Female,somecollege,UK,White,33,33,34,33,31,0,1,0
25-34,Female,professional,UK,White,49,35,37,46,37,3,3,0
45-54,Male,masters,UK,White,27,38,38,47,52,3,4,0
45-54,Female,doctorate,UK,White,16,41,44,55,53,2,2,0
45-54,Female,professional,UK,White,47,42,45,49,49,2,5,0
45-54,Male,university,UK,White,31,41,44,40,51,4,3,0
35-44,Female,university,UK,White,42,33,41,42,47,1,1,0
18-24,Female,masters,UK,White,23,46,42,56,54,2,5,0
45-54,Female,doctorate,UK,White,28,41,48,43,48,1,0,0
25-34,Male,professional,UK,White,49,35,41,37,40,1,3,1
35-44,Female,masters,UK,White,25,51,53,51,47,4,7,0
18-24,Female,somecollege,UK,White,31,44,44,48,48,2,5,0
35-44,Male,doctorate,UK,White,36,40,52,25,40,2,6,0
+64,Male,doctorate,UK,White,41,39,43,33,53,2,1,0
+64,Male,professional,UK,White,26,38,48,46,47,3,4,0
45-54,Female,professional,UK,White,31,46,58,37,42,8,9,0
55-64,Male,university,UK,White,29,37,51,43,41,8,6,0
45-54,Male,masters,UK,Asian,27,45,44,49,44,1,1,0
55-64,Female,leftbefore16,UK,White,26,40,46,53,49,2,1,0
18-24,Female,university,UK,White,31,41,46,47,46,1,2,0
35-44,Female,university,UK,Black,33,40,43,43,42,2,0,0
55-64,Male,university,UK,White,25,39,45,45,47,3,6,1
35-44,Male,professional,UK,Black,27,49,37,40,42,3,6,0
45-54,Female,masters,UK,White,26,51,50,46,54,3,4,0
35-44,Female,masters,UK,Black,27,41,40,38,43,1,0,0
45-54,Female,masters,UK,White,17,53,56,48,47,6,7,0
45-54,Female,masters,UK,White,43,35,49,45,31,2,8,0
55-64,Male,doctorate,UK,White,26,40,46,45,42,5,3,0
25-34,Female,university,UK,White,38,41,38,45,44,2,5,1
35-44,Male,masters,UK,White,38,46,47,37,46,3,8,1
35-44,Female,masters,UK,White,40,37,47,46,52,1,5,0
55-64,Male,doctorate,UK,White,27,43,42,41,38,3,4,0
25-34,Male,somecollege,UK,White,26,49,53,48,41,5,6,1
45-54,Female,university,UK,White,33,37,44,48,42,2,4,0
45-54,Male,masters,UK,White,24,45,48,46,45,4,4,0
55-64,Male,masters,UK,White,35,41,51,43,35,2,3,0
45-54,Female,somecollege,UK,White,36,38,30,42,41,2,3,0
45-54,Female,masters,UK,White,35,40,47,49,48,4,7,0
45-54,Male,university,UK,White,27,50,47,41,47,4,7,0
35-44,Male,professional,OtherC,White,25,34,51,40,44,7,5,0
35-44,Male,university,UK,White,27,48,41,41,44,1,5,0
45-54,Female,university,UK,White,38,30,45,34,41,1,0,0
45-54,Male,masters,UK,White,39,42,43,46,35,3,5,0
25-34,Male,somecollege,UK,White,42,42,41,41,42,3,1,0
25-34,Female,masters,UK,White,19,44,41,53,49,1,2,0
35-44,Female,professional,UK,Black,27,46,40,52,48,1,1,0
35-44,Female,somecollege,UK,White,42,32,49,38,39,1,4,1
45-54,Female,professional,UK,White,35,39,42,39,45,2,4,0
25-34,Female,professional,UK,White,47,40,45,38,39,4,5,1
18-24,Female,left17,UK,White,32,43,45,39,41,2,3,0
35-44,Male,professional,UK,White,49,37,47,43,42,2,4,0
+64,Female,left16,UK,White,44,34,47,42,49,3,4,0
35-44,Female,university,UK,White,37,38,36,53,45,3,1,0
35-44,Female,professional,USA,White,44,33,45,46,46,2,3,0
25-34,Female,somecollege,USA,White,33,37,35,44,46,1,1,0
35-44,Female,doctorate,UK,White,41,37,41,47,48,2,3,0
55-64,Female,professional,UK,White,34,44,46,38,39,3,6,0
45-54,Female,university,UK,White,32,40,37,42,48,3,2,0
45-54,Female,university,UK,White,26,22,37,53,43,2,1,0
35-44,Male,masters,UK,White,38,31,40,36,47,1,3,0
45-54,Male,masters,UK,White,31,36,41,50,47,2,4,0
35-44,Female,left18,UK,White,21,45,45,43,52,4,6,0
35-44,Male,masters,UK,White,28,41,45,47,45,1,0,0
45-54,Female,university,UK,White,24,39,40,44,46,1,1,0
18-24,Female,left16,UK,White,47,36,32,41,41,8,8,0
45-54,Female,masters,UK,White,32,40,43,45,43,1,4,0
25-34,Female,masters,UK,White,36,51,48,47,50,4,4,0
18-24,Female,left18,Ireland,White,30,41,41,44,41,2,2,0
45-54,Female,doctorate,UK,White,28,45,50,43,45,2,4,0
55-64,Female,university,UK,White,31,45,53,40,36,8,7,1
35-44,Male,university,UK,Black,28,52,39,43,49,2,4,0
25-34,Female,professional,UK,White,36,40,41,45,48,1,2,0
45-54,Female,left16,UK,OtherE,39,38,37,42,46,6,7,0
45-54,Female,university,UK,White,43,38,42,36,41,1,2,0
35-44,Female,somecollege,UK,White,41,38,39,54,52,1,0,0
18-24,Female,university,UK,White,28,43,49,49,43,3,7,0
45-54,Male,left17,UK,White,45,32,34,45,36,2,6,0
25-34,Female,doctorate,UK,White,38,40,55,37,48,4,4,0
35-44,Female,professional,UK,White,28,48,45,49,55,4,4,0
35-44,Male,left18,UK,White,30,28,32,49,45,5,6,1
45-54,Male,masters,UK,White,20,50,46,53,50,1,3,0
25-34,Female,professional,UK,White,38,38,37,50,38,1,0,0
45-54,Male,professional,UK,White,32,43,39,46,41,5,5,0
45-54,Female,professional,UK,White,26,43,41,48,47,3,5,0
35-44,Male,leftbefore16,UK,White,33,37,39,40,46,1,3,0
55-64,Female,left18,Canada,White,31,37,35,49,47,1,1,0
18-24,Female,somecollege,UK,White,59,26,40,46,28,4,4,1
+64,Male,somecollege,Canada,White,24,37,39,44,43,7,5,0
+64,Female,left16,Canada,White,34,39,36,34,42,3,8,0
25-34,Female,masters,UK,White,40,36,50,46,34,8,8,1
45-54,Female,masters,UK,Black,42,41,45,43,50,3,3,0
45-54,Female,professional,Canada,White,30,42,53,31,45,8,7,0
35-44,Male,doctorate,UK,White,20,48,48,48,51,3,7,0
45-54,Female,professional,UK,White,34,38,42,49,47,1,5,0
35-44,Female,masters,UK,White,31,47,52,45,45,0,5,1
55-64,Female,professional,UK,White,21,46,44,49,53,0,1,0
55-64,Female,professional,UK,White,42,40,46,42,46,4,4,0
18-24,Female,leftbefore16,UK,White,38,39,46,42,39,6,3,1
35-44,Female,masters,UK,White,20,41,55,54,49,2,3,0
35-44,Female,university,UK,White,36,43,45,49,44,4,5,0
45-54,Female,university,UK,White,34,51,56,57,44,8,9,1
45-54,Male,masters,UK,White,27,45,46,43,45,1,1,0
45-54,Male,professional,UK,Black,30,42,43,42,44,3,2,0
45-54,Male,university,UK,White,41,35,42,44,41,3,7,1
35-44,Female,somecollege,UK,White,46,36,52,51,37,6,5,0
35-44,Male,professional,UK,White,40,41,46,40,38,3,7,1
45-54,Male,university,UK,White,34,35,49,48,31,4,5,0
25-34,Male,left16,UK,White,31,40,45,39,45,5,3,0
35-44,Male,professional,UK,White,38,39,46,45,40,2,7,0
25-34,Male,leftbefore16,UK,White,42,40,54,54,48,8,10,1
45-54,Male,university,UK,White,25,39,37,52,45,2,6,0
35-44,Male,left16,UK,White,57,31,39,31,29,8,10,1
35-44,Male,somecollege,UK,White,40,34,52,44,39,5,5,0
25-34,Female,somecollege,UK,White,30,50,50,44,45,7,10,0
45-54,Female,university,UK,White,41,45,46,44,41,3,6,0
35-44,Female,professional,UK,White,42,44,53,49,50,6,7,1
45-54,Male,university,UK,White,40,42,45,47,45,2,4,0
45-54,Female,professional,UK,White,48,39,37,48,45,1,0,0
35-44,Female,doctorate,UK,White,40,39,47,43,38,3,5,0
45-54,Male,professional,UK,Asian,34,40,42,40,32,1,1,0
35-44,Female,university,UK,Asian,26,43,45,42,46,1,2,0
45-54,Female,university,UK,White,25,43,48,46,44,4,5,0
25-34,Male,professional,UK,White,35,33,34,44,47,3,3,1
25-34,Female,university,UK,White,48,42,48,48,37,4,5,0
18-24,Male,left18,Canada,White,38,42,47,37,40,2,6,1
35-44,Female,university,UK,White,46,54,56,34,45,7,10,0
18-24,Female,somecollege,UK,White,45,46,38,47,44,3,7,1
45-54,Male,university,UK,White,32,27,51,37,43,3,4,1
55-64,Female,masters,UK,White,33,48,52,53,49,2,2,0
+64,Male,professional,UK,White,37,41,48,34,51,1,3,0
45-54,Female,masters,UK,White,27,40,41,44,48,2,7,0
25-34,Female,university,UK,White,31,36,34,46,38,2,2,0
25-34,Male,masters,OtherC,White,44,33,50,47,47,5,5,0
45-54,Female,professional,UK,White,44,37,51,43,44,3,5,0
35-44,Male,university,UK,White,31,47,44,39,43,4,8,0
35-44,Male,left16,OtherC,White,32,36,38,37,36,7,4,1
35-44,Female,masters,OtherC,White,28,41,45,41,47,4,7,0
45-54,Female,university,UK,White,37,38,43,50,47,0,4,0
45-54,Female,university,UK,Black,33,41,39,48,46,4,1,0
25-34,Male,professional,UK,White,30,37,29,44,39,2,5,0
45-54,Male,left18,UK,White,19,43,38,53,46,2,4,0
25-34,Male,university,UK,Black,24,42,42,34,54,2,6,0
35-44,Male,professional,UK,White,37,38,47,42,40,3,3,0
25-34,Male,doctorate,UK,White,30,42,45,44,46,1,1,0
35-44,Female,somecollege,UK,White,29,37,48,44,42,4,3,0
25-34,Female,university,UK,White,42,40,47,45,43,2,4,0
35-44,Female,left17,UK,White,31,42,42,43,49,2,2,0
25-34,Female,professional,UK,White,28,39,30,39,51,1,0,0
25-34,Male,professional,UK,White,23,44,45,38,53,5,7,0
35-44,Male,university,UK,White,38,48,43,33,36,8,9,0
35-44,Female,university,UK,White,20,44,39,41,46,3,4,0
45-54,Male,professional,UK,White,37,43,40,33,45,7,9,0
25-34,Female,masters,UK,White,28,42,48,34,48,6,4,1
45-54,Male,masters,UK,White,27,48,55,49,46,2,2,0
25-34,Female,left18,UK,White,34,39,32,47,47,2,3,0
45-54,Male,left16,UK,White,37,32,43,32,37,8,9,1
18-24,Male,somecollege,UK,White,27,35,44,39,32,5,7,1
18-24,Male,university,UK,White,23,44,44,38,39,1,4,1
45-54,Male,left17,UK,White,45,39,45,42,44,6,6,1
18-24,Female,leftbefore16,UK,White,37,50,57,51,42,7,8,1
45-54,Female,university,UK,White,53,33,56,43,39,4,7,1
35-44,Male,left17,UK,OtherE,49,39,44,41,37,3,6,1
25-34,Male,university,UK,White,29,41,50,44,40,4,1,1
35-44,Female,professional,USA,White,22,45,51,45,46,3,7,1
45-54,Male,left18,UK,White,46,30,49,49,31,6,7,1
35-44,Female,somecollege,OtherC,White,31,29,48,44,29,3,3,0
25-34,Female,university,UK,White,37,47,39,46,40,2,4,0
35-44,Male,somecollege,UK,White,36,39,51,44,39,3,5,1
35-44,Female,somecollege,UK,White,20,42,38,42,37,4,5,0
18-24,Male,left18,UK,White,30,32,42,29,56,3,8,1
18-24,Male,somecollege,UK,White,35,35,48,28,32,4,8,1
25-34,Male,somecollege,UK,White,28,46,47,36,37,7,10,0
25-34,Female,doctorate,UK,White,39,40,53,40,45,3,5,1
25-34,Male,university,UK,White,42,41,45,41,43,4,4,0
18-24,Male,left18,UK,White,39,45,46,37,49,5,8,1
25-34,Male,somecollege,UK,White,39,27,36,41,39,5,3,0
35-44,Male,professional,UK,White,28,39,46,54,37,3,2,1
35-44,Female,university,UK,WhiteAsian,26,45,41,51,48,3,3,0
45-54,Female,doctorate,USA,White,41,40,56,49,42,7,7,1
35-44,Male,university,UK,White,32,38,47,41,29,3,3,1
45-54,Male,left16,UK,White,38,40,44,42,42,5,5,0
35-44,Male,university,OtherC,White,42,34,45,34,41,6,6,1
25-34,Female,left18,UK,White,27,39,31,45,47,1,1,0
25-34,Male,leftbefore16,UK,White,38,33,36,38,40,3,5,0
25-34,Female,left18,UK,White,36,42,39,49,34,4,5,0
25-34,Male,university,UK,White,33,38,34,45,43,2,2,0
45-54,Female,left16,UK,White,38,52,38,51,41,8,8,0
18-24,Female,university,UK,White,34,46,35,56,52,3,4,0
25-34,Female,university,UK,White,36,43,38,47,53,2,4,0
55-64,Male,somecollege,USA,White,29,38,53,54,47,1,2,1
45-54,Male,left16,UK,White,23,43,48,37,45,5,7,1
25-34,Female,university,USA,White,59,37,40,31,26,6,6,0
18-24,Female,somecollege,USA,White,49,38,48,42,28,4,5,1
35-44,Female,university,UK,White,31,43,42,48,53,3,4,0
18-24,Female,somecollege,UK,White,29,49,31,43,46,5,6,0
